user_id,full_name,pan,aadhaar,date_of_birth,city,state,monthly_income,occupation,signup_timestamp,kyc_status,risk_segment
USR16112,Dhriti Deshmukh,SEJAA8194O,7.16E+11,1967-04-06,Mumbai,Maharashtra,35119,Retired,2025-12-02,Approved,low
USR17216,Megha Jani,QT0ZZ5561X,23412025028,,Lucknow,Uttar Pradesh,80907,Freelancer,2024-01-31,Approved,medium
USR45454,Panini Lal,QCNTL9489O,2781 6299 9816,,Kolkata,West Bengal,11214,Farmer,2026-01-30,Pending,high
USR46189,Jack Parikh,RRVUI4059Q,0667 8032 7731,,Amritsar,Punjab,27300,Student,2025-04-09,Approved,low
USR85256,Eta Ravi,YGVOI9236W,1.76E+11,1969-02-19,Delhi,Delhi,24705,Salaried,2026-02-03,Approved,low
USR20918,Vanya Chad,JDGOH0074Y,8.94E+11,1961-04-20,Bengaluru,Karnataka,14124,Self Employed,2024-04-25,Rejected,medium
USR22494,Nirja Shetty,JWZVO4240H,5.28E+12,1990-09-05,Chennai,Tamil Nadu,16160,Retired,,Rejected,medium
USR34742,Ati Dash,OOQCG9609N,9.85E+11,1962-12-20,Jaipur,Rajasthan,43738,Unemployed,2025-07-25,Approved,high
USR83137,Ria Kale,,4.90E+12,2005-09-09,Jaipur,Rajasthan,25151,Freelancer,2024-04-03,Pending,low
USR99161,Jalsa Malhotra,QLSKS5105S,9.44E+11,1963-05-20,Jalandhar,Punjab,8083,Retired,,Rejected,low
USR16625,Anika Vora,CACWZ2722S,0179 7994 0718,,Lucknow,Uttar Pradesh,28634,Unemployed,2026-03-08,Approved,medium
USR65060,Anirudh Bhatnagar,AIWTB3506U,2.50E+12,2003-06-16,Jaipur,Rajasthan,30875,Student,2024-05-24,Approved,low
USR13678,Reva Jaggi,KWLPY9915,5.77E+11,1982-05-27,Jaipur,Rajasthan,24200,Gig Worker,2024-02-16,Pending,low
USR78719,Indirachaudhary,VGLXS2856D,6244-9453-8280,1977-04-17,Ludhiana,Punjab,20231,Student,2024-01-30,Approved,low
USR83333,Gautam Bajwa,HLNXD7947Q,8.47E+11,1969-08-24,Hyderabad,Telangana,24890,Freelancer,2025-07-10,Rejected,low
USR53554,Hemani Behl,SIBUO4381D,4.49E+11,1968-09-20,Delhi,Delhi,26617,Business Owner,2024-01-03,Approved,low
USR77711,Warinder Solanki,MFDIC1823G,XXXX-XXXX-5406,1987-07-15,Pune,Maharashtra,81093,Gig Worker,2025-04-06,Pending,high
USR69726,Rudra Lal,CXBKD3190N,9.76E+11,1995-08-28,Kolkata,West Bengal,17700,Student,2024-12-30,Approved,low
USR53544,Daniel Gokhale,UFLEH5366C,,1998-07-16,Lucknow,Uttar Pradesh,32124,Self Employed,2025-10-12,Approved,high
USR57699,Advik Om,MXMQW7893W,XXXX-XXXX-1365,1999-04-26,Lucknow,Uttar Pradesh,19875,Freelancer,2024-06-04,Approved,low
USR53382,Mekhala Golla,BOBCZ3795L,6.53E+11,1967-02-06,Hyderabad,Telangana,13098,Retired,2026-01-12,Approved,low
USR26959,Ganga Pai,JXFNR4730M,1.49E+11,1966-07-04,Amritsar,Punjab,19624,Retired,2026-02-12,Approved,
USR13068,Megha Chandra,AVJUN6708Q,2829-0979-8427,1993-09-10,Kolkata,West Bengal,25378,Self Employed,2024-02-18,Approved,low
USR32767,Sanya Dalal,HBFFH5169P,5.84E+11,1964-01-18,Delhi,Delhi,17051,Gig Worker,2024-10-11,Approved,high
USR86400,Qadim Nayak,AQHFS2686A,9452 8737 2343,1978-09-06,Hyderabad,Telangana,19485,Retired,2026-02-06,Approved,low
USR72012,Liam Varkey,CNIVL5277X,XXXX-XXXX-0556,2004-08-25,Mumbai,Maharashtra,23591,Salaried,2025-09-08,Pending,low
USR65078,Anamika Chaudhary,EYKUP2541J,8.72E+11,1987-01-09,Jaipur,Rajasthan,16714,Freelancer,2024-11-10,Approved,low
USR37121,Bhavika Thaker,MKYUT2802M,15496732243,1983-07-29,Bengaluru,Karnataka,31824,Self Employed,2025-02-16,Approved,low
