merchant_id,merchant_name,mcc,merchant_category,business_type,city,state,onboarding_date,settlement_account,merchant_status,declared_avg_ticket_size
MCH2849,"Bhavsar, Kota And Zacharia",7011,Hotel & Lodging,Private Limited,Ludhiana,Punjab,2025-09-23,,Inactive,2432.18
MCH4314,Deshmukh Ltd,5699,Apparel & Fashion,Private Limited,Jalandhar,Punjab,,3021439858,Inactive,986.05
MCH1986,"Bains, Chanda And Gh0Sh",5311,Retail,Individual,Jalandhar,Punjab,2026-01-10,,Active,1427.52
MCH3899,Goswami-Bath,4131,Transportation,Sole Proprietor,Hyderabad,Telangana,2023-01-14,,Active,
MCH4859,Vasa-Raju,5812,Restaurants & Food,Sole Proprietor,Hyderabad,Telangana,2025-03-17,XXXX9523,Active,214.0
MCH6848,Dora Llc,5311,Department Store,Partnership,Chennai,Tamil Nadu,2025-09-20,DUSD7272281625368,Active,1272.49
MCH9933,Bali-Zachariah,5411,Grocery,Sole Proprietor,Jaipur,Rajasthan,2023-06-07,TWPF4694358713410,Active,1549.0
MCH2637,Joshi Group,5999,Miscellaneous,Partnership,Chennai,Tamil Nadu,2025-02-20,,Active,
MCH8708,"Mukherjee, Sami And Purohit",5999,Miscellaneous,Sole Proprietor,Hyderabad,Telangana,2026-01-28,,Suspended,2919.92
MCH2430,Bora Group,4814,Telecom,Individual,Amritsar,Punjab,2026-01-27,2955352677,Active,827.43
MCH8556,"Rout, Dhillon And Sinha",5942,Books & Stationery,Sole Proprietor,Jaipur,Rajasthan,2023-05-04,,Active,
MCH9997,"Kalita, Dass And Balay",5999,Miscellaneous,Individual,Ludhiana,Punjab,2023-12-07,XXXX2557,Active,2233.91
MCH7003,"Koshy, Samra And Chana",5942,Books & Stationery,Private Limited,Jalandhar,Punjab,2024-06-29,XXXX7569,On Hold,776.99
MCH6945,Barad Llc,5311,Retail,Partnership,Ludhiana,Punjab,2025-09-13,,Active,3350.77
MCH4323,"Ben, Wagle And Shan",5812,Restaurants & Food,Sole Proprietor,Chennai,Tamil Nadu,2023-05-11,4367668757,Suspended,
MCH1405,Sawhney-Naru1A,5912,Medical,Sole Proprietor,Lucknow,Uttar Pradesh,2024-12-31,,Suspended,3091.86
MCH9459,Bala And Sons,5411,Grocery,Partnership,Chennai,Tamil Nadu,2023-11-12,,Active,558.21
MCH7645,Majumdar-Nagarajan,5912,Medical,Sole Proprietor,Amritsar,Punjab,2024-09-21,7530870851,Active,1396.81
MCH9620,Chad Plc,,Retail,Individual,Ludhiana,Punjab,2025-04-16,HEOY8360949899311,Active,786.55
MCH9815,"Narasimhan, Vasa And Goswami",5942,Books & Stationery,Individual,Delhi,Delhi,2025-11-10,MZNM1643262942719,Active,
MCH5251,"Rana, Chandra And Tank",4131,Transportation,Partnership,Mumbai,Maharashtra,,,Inactive,3641.26
MCH2934,Warri0R-Siba1,5999,Miscellaneous,Individual,Amritsar,Punjab,2025-04-07,,Active,
MCH3140,"Zachariah,Rajagopalandsamra",4814,Telecom,Private Limited,Amritsar,Punjab,2023-09-04,,Active,363.21
MCH2833,Kapoor-Shankar,7011,Hotel & Lodging,Sole Proprietor,Jalandhar,Punjab,,VEQH1532066637768,Active,474.69
MCH2849,"Bhavsar, Kota And Zacharia",7011,Hotel & Lodging,Private Limited,Ludhiana,Punjab,2025-09-23,,Active,2432.18
MCH6397,"Suri, Agrawal And Natarajan",5942,Books & Stationery,Partnership,Delhi,Delhi,2024-08-19,,Active,547.0
MCH2749,Issac And Sons,5912,Medical,Sole Proprietor,Mumbai,Maharashtra,2025-09-03,1616970087,Active,
MCH5089,Korpal-Parmer,5311,Retail,Private Limited,Jaipur,Rajasthan,2024-06-14,,Active,3730.0
MCH5112,Nigam-Chawla,4131,Transportation,Private Limited,Chennai,Tamil Nadu,2025-09-06,,Inactive,353.3
MCH9951,Natt Group,5912,Pharmacy,Partnership,Chennai,Tamil Nadu,2024-02-05,TSMH8783182679043,Active,1765.37
MCH4962,Venkataraman-Mannan,5942,Books & Stationery,Private Limited,Chennai,Tamil Nadu,2025-07-15,8238766790,Active,266.61
MCH1541,Bhattacharyya-Hans,7011,Hotel & Lodging,Private Limited,Kolkata,West Bengal,2024-03-24,XXXX2848,Active,621.01
MCH3442,Kuruvilla Ltd,5411,Grocery,Partnership,Hyderabad,Telangana,2023-04-11,,Inactive,1281.68
MCH9993,Chadha-Tailor,5942,Books & Stationery,Private Limited,Ludhiana,Punjab,2026-01-05,,Inactive,2368.65
MCH8365,Som-Dhar,5999,Miscellaneous,Individual,Pune,Maharashtra,2025-08-30,,Active,269.48
MCH2536,Divan-Radhakrishnan,4131,Transportation,Private Limited,Pune,Maharashtra,2025-07-09,NWSY9894058484946,Active,
MCH6777,Lall-Date,5411,Grocery,Partnership,Lucknow,Uttar Pradesh,2023-12-20,XXXX6676,Active,1143.87
MCH8152,Chaudhari Plc,5912,Pharmacy,Sole Proprietor,Jalandhar,Punjab,2023-07-24,,Active,1648.01
MCH2665,"Arora, Bir And Mahal",5311,Retail,Sole Proprietor,Lucknow,Uttar Pradesh,2024-11-15,3459659161,Inactive,2101.74
MCH1384,Thakur-Ben,4814,Telecom,Individual,Hyderabad,Telangana,2023-11-04,,Active,1433.16
MCH4729,Parmer-Kulkarni,5311,Department Store,Individual,Bengaluru,Karnataka,2023-09-03,,Active,1384.93
MCH6326,"Barad,Murtyandtella",5942,Books & Stationery,Private Limited,Chennai,Tamil Nadu,2024-06-22,LQXK9607455160094,Active,
MCH5563,"Dubey, Wali And Yadav",,Apparel & Fashion,Sole Proprietor,Kolkata,West Bengal,2024-01-28,5163059320,Active,2198.0
MCH3063,Bansal Inc,4131,Transportation,Individual,Jaipur,Rajasthan,2025-07-02,,Inactive,282.67
MCH7974,"Verma, Koshy And Bhardwaj",5411,Grocery,Individual,Jaipur,Rajasthan,2023-10-04,7985944544,Active,460.5
MCH5575,Sandal Llc,5411,Grocery,Partnership,Chennai,Tamil Nadu,2024-02-13,XXXX5528,Active,5255.72
MCH7433,"Sahota, Desai And Sarma",5999,Miscellaneous,Individual,Pune,Maharashtra,2024-02-24,,Active,867.14
MCH1454,Wableinc,5999,Miscellaneous,Individual,Lucknow,Uttar Pradesh,2025-06-18,7787448001,Active,2617.0
MCH1331,"Garg, Bobal And Jain",4131,Travel,Individual,Kolkata,West Bengal,2024-06-29,,Active,3720.61
MCH1168,Sekhon Inc,5411,Grocery,Sole Proprietor,Hyderabad,Telangana,2025-07-26,,Active,6003.0
MCH5283,"Verma, Narasimhan And Balan",,Pharmacy,Individual,Delhi,Delhi,2026-02-05,,Inactive,1266.0
MCH2698,Kalallc,7011,Hotel & Lodging,Individual,Lucknow,Uttar Pradesh,2023-08-19,YXNF3515433387898,Inactive,3590.19
MCH6451,Chandran Group,5311,Department Store,Individual,Jalandhar,Punjab,2025-10-07,5694147499,Inactive,165.95
MCH2255,Lal Ltd,5311,Department Store,Individual,Jaipur,Rajasthan,2023-05-29,6674150314,Active,1404.67
MCH7312,Ramakrishnan-Banerjee,5311,Retail,Sole Proprietor,Mumbai,Maharashtra,2024-02-24,CCCL8077324997121,Active,977.96
MCH8549,"Amb1E, Sangha And C0Mar",4814,Telecom,Individual,Ludhiana,Punjab,2026-01-12,XXXX7799,Active,1130.69
MCH9784,Lal Ltd,5812,Restaurants & Food,Partnership,Chennai,Tamil Nadu,2024-12-28,XXXX3001,Active,1442.84
MCH5395,"Dada, Jani And Kaul",5942,Books & Stationery,Partnership,Chennai,Tamil Nadu,2025-03-06,,Active,
MCH6067,Chaw1A-Gangu1Y,,Hotel & Lodging,Sole Proprietor,Mumbai,Maharashtra,2025-12-03,FNQE1460028710860,Inactive,700.95
MCH4786,Edwin Plc,5699,Apparel & Fashion,Individual,Ludhiana,Punjab,2024-12-15,4903394968,Active,3435.22
MCH3559,Chokshi Inc,5812,Restaurants & Food,Private Limited,Bengaluru,Karnataka,2024-12-23,XXXX5330,Suspended,
MCH3955,"Swamy, Dhingra And Sheth",5311,Department Store,Individual,Chennai,Tamil Nadu,2024-11-25,,Suspended,508.0
MCH3558,"Bhattacharyya, Mahal And Setty",4131,Transportation,Partnership,Jaipur,Rajasthan,2023-07-28,7325110455,Active,4448.97
MCH2879,"Pillay, Vora And Karnik",5812,Restaurants & Food,Individual,Ludhiana,Punjab,2024-05-20,9486638654,Active,
MCH3340,Varty-Chokshi,5999,Miscellaneous,Partnership,Chennai,Tamil Nadu,2023-04-07,,Active,311.76
MCH6403,"Sahni, Kapur And Ganesh",,Apparel & Fashion,Private Limited,Chennai,Tamil Nadu,2024-05-30,,Active,344.49
MCH3455,Singhal Llc,5311,Department Store,Individual,Jalandhar,Punjab,2026-01-06,,Active,11222.95
MCH8578,Bhatt Llc,4131,Transportation,Sole Proprietor,Pune,Maharashtra,2023-08-26,QYMF1422119480722,Inactive,2462.04
MCH4277,Chaudhry-Karpe,4131,Transportation,Private Limited,Ludhiana,Punjab,2023-11-09,,Active,
MCH8716,"Naik, Chada And Divan",5999,Miscellaneous,Private Limited,Ludhiana,Punjab,2023-01-11,EDPS0799008597487,Active,225.43
MCH9697,Walla Ltd,,Telecom,Individual,Bengaluru,Karnataka,2025-07-21,,Active,1081.86
MCH1170,"Wali, Bala And Sanghvi",5311,Department Store,Sole Proprietor,Bengaluru,Karnataka,2023-04-01,,Inactive,1109.65
MCH8705,"Sahota, Kale And Patil",4131,Transportation,Private Limited,Delhi,Delhi,2024-11-10,XXXX9019,Active,1127.21
MCH6875,Buch Ltd,5912,Pharmacy,Individual,Lucknow,Uttar Pradesh,2023-07-02,,Active,2704.27
MCH5146,Wadhwa-Swamy,5311,Department Store,Partnership,Jalandhar,Punjab,2023-11-05,,Active,
MCH7239,Tata-Hayer,7011,Hotel & Lodging,Individual,Chennai,Tamil Nadu,2025-06-09,MPZF9929757844428,Active,1929.61
MCH7925,Badami Group,7011,Hotel & Lodging,Sole Proprietor,Hyderabad,Telangana,2023-07-01,IVGP0940394312057,Active,
MCH3625,Lall Inc,5699,Apparel & Fashion,Individual,Kolkata,West Bengal,2023-07-16,8363629876,Inactive,691.1
MCH6999,Srinivasan-Agate,5812,Restaurants & Food,Partnership,Hyderabad,Telangana,2023-02-22,,Active,1015.19
MCH9868,"Bedi, Konda And Kant",5912,Medical,Individual,Jaipur,Rajasthan,2023-01-02,XXXX9285,Active,444.97
MCH5356,"Solanki, Kala And Loke",4814,Telecom,Partnership,Hyderabad,Telangana,2023-01-03,TUAH3044152488223,Active,
MCH3953,"Ray, Minhas And Yohannan",5411,Grocery,Sole Proprietor,Kolkata,West Bengal,2023-03-18,XXXX6303,Active,8126.93
MCH3697,Cherian Llc,7011,Hotel & Lodging,Individual,Chennai,Tamil Nadu,2023-11-04,,Active,2525.65
MCH6046,"Palla, Yadav And Bhatnagar",5999,Miscellaneous,Individual,Bengaluru,Karnataka,2024-03-27,,Active,2396.76
MCH7759,"Sankaran, Patel And Narain",5699,Apparel & Fashion,Sole Proprietor,Kolkata,West Bengal,2025-10-15,EADV1032511266518,Active,
MCH5657,Natt-Goel,5999,Miscellaneous,Individual,Delhi,Delhi,,,Active,1355.0
MCH2432,Parmar-Parmer,4131,Transportation,Individual,Kolkata,West Bengal,,,Active,2557.63
MCH5705,Mukhopadhyay And Sons,5699,Apparel & Fashion,Sole Proprietor,Jalandhar,Punjab,2025-02-25,,Active,716.31
MCH1358,"Chaudry, Baral And Modi",4131,Transportation,Individual,Ludhiana,Punjab,2025-06-07,3312553110,Active,2115.38
MCH7337,Nath-Narayan,5699,Apparel & Fashion,Individual,Hyderabad,Telangana,2024-07-28,,Active,3029.85
MCH9319,Ladinc,5699,Apparel & Fashion,Sole Proprietor,Jalandhar,Punjab,2025-07-20,XXXX7774,Active,839.54
MCH5354,Khatri-De0,5942,Books & Stationery,Partnership,Jalandhar,Punjab,,WCZU4810286661084,Active,
MCH6329,Srinivas-Banerjee,,Medical,Individual,Kolkata,West Bengal,2024-05-12,XXXX2718,Active,199.46
MCH3206,Ahuja-Din,5311,Retail,Sole Proprietor,Hyderabad,Telangana,2026-01-11,XXXX4117,Active,1244.0
MCH5632,Tandon Ltd,5311,Department Store,Sole Proprietor,Bengaluru,Karnataka,2025-05-29,,Active,270.52
MCH8355,"Virk, Sarna And Sangha",5812,Restaurants & Food,Individual,Mumbai,Maharashtra,2023-10-09,702210119,Active,3279.0
MCH3281,Ranganathan And Sons,5311,Retail,Partnership,Kolkata,West Bengal,2024-03-01,XXXX9655,Active,
MCH2978,Deshpande Llc,7011,Hotel & Lodging,Private Limited,Lucknow,Uttar Pradesh,2023-02-01,XXXX0228,Active,194.6
MCH3399,Rana-Talwar,5912,Medical,Private Limited,Mumbai,Maharashtra,2024-03-30,6585786984,Active,575.9
MCH7219,Dhawan-Saha,7011,Hotel & Lodging,Individual,Delhi,Delhi,2026-06-01,HJFW5603026154965,Inactive,2354.94
MCH3757,Chokshi Plc,4814,Telecom,Private Limited,Jaipur,Rajasthan,2025-10-23,KUIQ2748561079701,Active,2492.69
MCH1214,Padmanabhan Gr0Up,4814,Telecom,Individual,Amritsar,Punjab,2025-08-24,,Active,
MCH2249,Bahri-Nagarajan,7011,Hotel & Lodging,Sole Proprietor,Ludhiana,Punjab,2024-11-17,364290572,Active,590.8
MCH9098,Manda And Sons,5812,Restaurants & Food,Partnership,Bengaluru,Karnataka,2024-03-03,XXXX2826,Active,870.0
MCH7932,Sethi Ltd,4814,Telecom,Private Limited,Bengaluru,Karnataka,2025-04-20,AUYT1495828220876,Active,4410.18
MCH1216,"Agarwal, Dave And Vala",7011,Hotel & Lodging,Sole Proprietor,Chennai,Tamil Nadu,2024-10-18,,Active,2228.42
MCH3497,"Gokhale, Parmer And Contractor",,Transportation,Individual,Jalandhar,Punjab,2023-11-03,,Active,
MCH8517,"Bandi, Bir And Buch",5912,Pharmacy,Individual,Delhi,Delhi,2025-05-12,XXXX8958,Active,2544.34
MCH3567,Kala Ltd,4814,Telecom,Sole Proprietor,Amritsar,Punjab,2023-05-15,120134197,Active,1794.62
MCH6890,Pandit-Narasimhan,7011,Hotel & Lodging,Private Limited,Kolkata,West Bengal,2024-04-21,XXXX8046,Inactive,525.87
MCH6632,"Om, Mall And Sandhu",,Transportation,Partnership,Lucknow,Uttar Pradesh,2023-07-28,XXXX3092,On Hold,996.13
MCH7269,La11-Raman,4814,Telecom,Private Limited,Lucknow,Uttar Pradesh,2023-10-25,4846136502,Active,1031.92
MCH4180,Dave-Oza,5411,Books & Stationery,Sole Proprietor,Delhi,Delhi,2024-01-08,,Active,394.99
MCH1492,"Panchal, Bail And Nadkarni",5912,Medical,Sole Proprietor,Jaipur,Rajasthan,2024-07-05,,On Hold,6674.02
MCH5210,Natarajan Llc,4131,Transportation,Partnership,Lucknow,Uttar Pradesh,2023-08-25,,Active,2522.68
MCH6115,Padmanabhan-Chahal,,Retail,Private Limited,Mumbai,Maharashtra,2024-03-01,XXXX5769,Inactive,266.65
MCH5950,Dey-Raj,5999,Miscellaneous,Sole Proprietor,Amritsar,Punjab,2025-11-29,371217445,Active,
MCH3556,Andra-Nagar,5999,Miscellaneous,Sole Proprietor,Pune,Maharashtra,2025-05-04,,Active,1107.13
MCH4842,Pa11A Llc,5942,Books & Stationery,Individual,Kolkata,West Bengal,2024-12-19,XXXX0707,Active,3127.0
MCH6831,"Kothari, De And Arora",5999,Miscellaneous,Individual,Kolkata,West Bengal,2025-11-17,FVLK6104664273261,Suspended,
MCH2922,Chhabra-Jha,5999,Miscellaneous,Sole Proprietor,Mumbai,Maharashtra,2024-10-10,FAIS4263479017973,Active,
MCH8509,"Majumdar, Deshpande And Solanki",5311,Department Store,Partnership,Bengaluru,Karnataka,2024-09-17,XXXX5135,Inactive,
MCH3604,"Shetty, Bali And Sama",5411,Grocery,Partnership,Ludhiana,Punjab,2023-01-04,IQHJ3383226507557,Active,394.0
MCH9785,Nagarajan Plc,5699,Apparel & Fashion,Individual,Mumbai,Maharashtra,2025-08-06,,Active,2709.78
MCH1447,"Dara, Om And Chaudhry",5699,Apparel & Fashion,Private Limited,Bengaluru,Karnataka,2023-04-29,NJHB3866390601882,Inactive,373.0
MCH7659,"Pandya, Bakshi And Chaudhary",4131,Transportation,Private Limited,Chennai,Tamil Nadu,2023-04-16,FNTE9764699509957,Active,1564.19
MCH1600,"Warrior, Anand And Kata",5311,Department Store,Individual,Chennai,Tamil Nadu,2025-10-07,DNAN6947992423478,Active,2937.03
MCH8561,Mahal-Talwar,5912,Pharmacy,Individual,Pune,Maharashtra,2024-11-21,XXXX1106,Active,892.64
MCH4029,Kuruvilla And Sons,5411,Grocery,Private Limited,Pune,Maharashtra,,DGMS6783095939908,Active,55.43
MCH1392,Johal-Gaba,5912,Medical,Private Limited,Pune,Maharashtra,2024-02-20,XXXX9354,Inactive,4352.7
MCH4985,Hayre And Sons,5942,Books & Stationery,Partnership,Lucknow,Uttar Pradesh,2023-01-08,PXAE0911368692866,Active,1981.89
MCH8808,"Kothari, Bansal And Gupta",,Books & Stationery,Individual,Bengaluru,Karnataka,2025-09-19,9868014892,Active,380.0
MCH7137,Krishna-Palan,4814,Telecom,Partnership,Ludhiana,Punjab,2025-09-29,GJTY8331565779502,Active,
