user_id,full_name,kyc_status,risk_segment,monthly_income,occupation,city,state,transaction_count,transaction_amount,average_transaction_value,failed_transaction_count,pending_transaction_count,dispute_count,disputed_amount,high_severity_disputes,critical_disputes,failed_rate,dispute_rate,risk_score,risk_level,repeated_dispute_flag,high_value_dispute_flag
USR33934,Janaki Kanda,Approved,low,31760.0,Salaried,Amritsar,Punjab,0.0,0.0,0.0,0.0,0.0,9.0,30452.45,4.0,2.0,0,0,95.0,Critical,True,True
USR97772,Hamsini Madan,Approved,low,48312.0,Gig Worker,Hyderabad,Telangana,0.0,0.0,0.0,0.0,0.0,11.0,8174.32,6.0,2.0,0,0,95.0,Critical,True,False
USR62254,Oni Subramanian,Approved,low,26347.0,Self Employed,Jaipur,Rajasthan,3.0,40821.56,13607.186666666666,0.0,0.0,11.0,43610.14,3.0,1.0,0.0,366.67,85.0,Critical,True,True
USR27947,Prisha Gala,Rejected,low,39200.0,Unemployed,Jalandhar,Punjab,1.0,15158.78,15158.78,0.0,0.0,9.0,13741.46,4.0,2.0,0.0,900.0,85.0,Critical,True,False
USR88037,Chandresh Verma,Approved,low,25079.0,Business Owner,Mumbai,Maharashtra,1.0,20518.68,20518.68,1.0,0.0,10.0,33694.369999999995,2.0,0.0,100.0,1000.0,80.0,Critical,True,True
USR22644,Dayamai Chaudhry,Approved,medium,20279.0,Retired,Jaipur,Rajasthan,0.0,0.0,0.0,0.0,0.0,9.0,35499.71,2.0,1.0,0,0,75.0,Critical,True,True
USR27533,Rudra Dash,Approved,medium,104969.0,Salaried,Lucknow,Uttar Pradesh,0.0,0.0,0.0,0.0,0.0,8.0,9826.619999999999,5.0,1.0,0,0,75.0,Critical,True,False
USR46902,Urmi Gade,Approved,medium,,Retired,Pune,Maharashtra,0.0,0.0,0.0,0.0,0.0,11.0,17055.899999999998,2.0,1.0,0,0,70.0,Critical,True,False
USR97580,Anjali Khare,Approved,medium,63517.0,Salaried,Delhi,Delhi,0.0,0.0,0.0,0.0,0.0,8.0,11484.91,2.0,2.0,0,0,70.0,Critical,True,False
USR43455,Faqid Kalla,Rejected,low,21133.0,Self Employed,Jalandhar,Punjab,1.0,22396.44,22396.44,0.0,0.0,7.0,33877.59,2.0,1.0,0.0,700.0,65.0,High,True,True
USR11987,Bimala Tara,Approved,low,53600.0,Salaried,Kolkata,West Bengal,0.0,0.0,0.0,0.0,0.0,5.0,41896.13,3.0,1.0,0,0,60.0,High,True,True
USR27107,Ekani Dani,Approved,medium,29926.0,Freelancer,Jaipur,Rajasthan,0.0,0.0,0.0,0.0,0.0,5.0,5932.139999999999,3.0,1.0,0,0,50.0,High,True,False
USR24926,Eshana Wagle,Approved,medium,13990.0,Business Owner,Pune,Maharashtra,1.0,21758.89,21758.89,0.0,0.0,7.0,26995.72,0.0,0.0,0.0,700.0,45.0,Medium,True,True
USR69706,Falguni Boase,Approved,low,36019.0,Farmer,Ludhiana,Punjab,0.0,0.0,0.0,0.0,0.0,6.0,10917.13,1.0,1.0,0,0,45.0,Medium,True,False
USR42970,Indira Handa,Rejected,medium,26265.0,Unemployed,Mumbai,Maharashtra,0.0,0.0,0.0,0.0,0.0,3.0,23862.55,3.0,1.0,0,0,40.0,Medium,True,False
USR40061,Sai Rao,Approved,low,,Self Employed,Pune,Maharashtra,0.0,0.0,0.0,0.0,0.0,5.0,27860.49,0.0,0.0,0,0,35.0,Medium,True,True
USR20310,Nathaniel Amble,Approved,low,17772.0,Business Owner,Mumbai,Maharashtra,2.0,26692.72,13346.36,1.0,0.0,4.0,14684.49,1.0,0.0,50.0,200.0,35.0,Medium,True,False
USR71316,Falankant,Approved,low,60534.0,Student,Delhi,Delhi,0.0,0.0,0.0,0.0,0.0,6.0,13987.6,1.0,0.0,0,0,35.0,Medium,True,False
USR50434,Charvi Naik,Approved,medium,43706.0,Student,Hyderabad,Telangana,1.0,9070.37,9070.37,0.0,0.0,6.0,13656.21,1.0,0.0,0.0,600.0,35.0,Medium,True,False
USR75856,Lipika Munshi,Approved,low,8900.0,Student,Mumbai,Maharashtra,0.0,0.0,0.0,0.0,0.0,6.0,12705.68,0.0,0.0,0,0,30.0,Medium,True,False
USR59482,Ishita Bhakta,Approved,low,20292.0,Gig Worker,Jalandhar,Punjab,2.0,10602.9,5301.45,1.0,0.0,1.0,12115.08,1.0,1.0,50.0,50.0,30.0,Medium,False,False
USR41135,Widisha Kara,Approved,low,23700.0,Gig Worker,Mumbai,Maharashtra,1.0,19192.0,19192.0,0.0,0.0,5.0,6119.21,1.0,0.0,0.0,500.0,30.0,Medium,True,False
USR88897,Qasim Prabhu,Approved,low,57100.0,Gig Worker,Ludhiana,Punjab,2.0,35213.08,17606.54,1.0,0.0,1.0,2970.62,1.0,1.0,50.0,50.0,30.0,Medium,False,False
USR25196,Lakshmi Randhawa,Approved,medium,14253.0,Gig Worker,Jalandhar,Punjab,0.0,0.0,0.0,0.0,0.0,2.0,1588.33,2.0,1.0,0,0,30.0,Medium,True,False
USR27328,Vamakshi Badami,Approved,,37945.0,Retired,Mumbai,Maharashtra,0.0,0.0,0.0,0.0,0.0,4.0,17151.05,1.0,0.0,0,0,25.0,Medium,True,False
USR84844,Krishna Panchal,Approved,low,35731.0,Student,Jaipur,Rajasthan,3.0,55934.759999999995,18644.92,1.0,0.0,3.0,13167.18,0.0,0.0,33.33,100.0,25.0,Medium,True,False
USR53356,Charvi Sha,Approved,medium,,Business Owner,Pune,Maharashtra,0.0,0.0,0.0,0.0,0.0,4.0,12387.22,1.0,0.0,0,0,25.0,Medium,True,False
USR83126,Fitan Srinivasan,Approved,low,68683.0,Farmer,Kolkata,West Bengal,1.0,21869.84,21869.84,0.0,0.0,2.0,10959.68,1.0,1.0,0.0,200.0,25.0,Medium,True,False
USR71503,Michael Kara,Pending,medium,42791.0,Unemployed,Mumbai,Maharashtra,0.0,0.0,0.0,0.0,0.0,2.0,6630.1,1.0,1.0,0,0,25.0,Medium,True,False
USR46321,Fariq Bhagat,Approved,low,54900.0,Business Owner,Delhi,Delhi,0.0,0.0,0.0,0.0,0.0,3.0,3919.59,2.0,0.0,0,0,25.0,Medium,True,False
USR17315,Jeremiah Narang,Rejected,,84222.0,Student,Mumbai,Maharashtra,1.0,16881.5,16881.5,0.0,0.0,2.0,3917.29,1.0,1.0,0.0,200.0,25.0,Medium,True,False
USR72987,Yatin Dara,Approved,high,25303.0,Freelancer,Pune,Maharashtra,0.0,0.0,0.0,0.0,0.0,1.0,19958.58,1.0,1.0,0,0,20.0,Low,False,False
USR86472,Neel Walla,Approved,medium,21474.0,Business Owner,Kolkata,West Bengal,0.0,0.0,0.0,0.0,0.0,4.0,7514.09,0.0,0.0,0,0,20.0,Low,True,False
USR92765,Abha Vala,Approved,low,43300.0,Freelancer,Amritsar,Punjab,0.0,0.0,0.0,0.0,0.0,1.0,6597.26,1.0,1.0,0,0,20.0,Low,False,False
USR15884,Samaksh Kamdar,Approved,low,34633.0,Self Employed,Delhi,Delhi,0.0,0.0,0.0,0.0,0.0,1.0,6328.27,1.0,1.0,0,0,20.0,Low,False,False
USR68522,Waida Kurian,Approved,low,52876.0,Unemployed,Bengaluru,Karnataka,1.0,2234.35,2234.35,0.0,0.0,1.0,5796.41,1.0,1.0,0.0,100.0,20.0,Low,False,False
USR12753,Chatura Mistry,Approved,low,16599.0,Unemployed,Bengaluru,Karnataka,0.0,0.0,0.0,0.0,0.0,1.0,5005.08,1.0,1.0,0,0,20.0,Low,False,False
USR19921,Matthew Pingle,Approved,low,,Self Employed,Pune,Maharashtra,0.0,0.0,0.0,0.0,0.0,1.0,4964.2,1.0,1.0,0,0,20.0,Low,False,False
USR96218,Eta Walia,In Progress,medium,11300.0,Self Employed,Bengaluru,Karnataka,0.0,0.0,0.0,0.0,0.0,1.0,4959.68,1.0,1.0,0,0,20.0,Low,False,False
USR86223,Eta Tandon,Approved,high,19148.0,Farmer,Mumbai,Maharashtra,0.0,0.0,0.0,0.0,0.0,1.0,4576.69,1.0,1.0,0,0,20.0,Low,False,False
USR30591,Eiravati Rama,Approved,low,9770.0,Student,Lucknow,Uttar Pradesh,0.0,0.0,0.0,0.0,0.0,1.0,4452.54,1.0,1.0,0,0,20.0,Low,False,False
USR60004,Chatresh Nazareth,Approved,medium,66886.0,Self Employed,Pune,Maharashtra,2.0,32481.61,16240.805,0.0,0.0,1.0,4334.18,1.0,1.0,0.0,50.0,20.0,Low,False,False
USR13025,Sai Chada,Approved,low,19306.0,Student,Hyderabad,Telangana,0.0,0.0,0.0,0.0,0.0,1.0,4186.0,1.0,1.0,0,0,20.0,Low,False,False
USR39503,Yoshita Thaman,Approved,low,5734.0,Self Employed,Mumbai,Maharashtra,0.0,0.0,0.0,0.0,0.0,1.0,3615.07,1.0,1.0,0,0,20.0,Low,False,False
USR13925,Wriddhish Sehgal,Pending,high,8000.0,Unemployed,Jaipur,Rajasthan,0.0,0.0,0.0,0.0,0.0,1.0,3475.46,1.0,1.0,0,0,20.0,Low,False,False
