user_id,full_name,pan,aadhaar,date_of_birth,city,state,monthly_income,occupation,signup_timestamp,kyc_status,risk_segment
USR10001,Osha Dewan,XZDVU00501,5.13E+11,1964-03-24,Pune,Maharashtra,37535.0,Retired,2025-09-27,Approved,medium
USR10007,Yutika Borra,,1.10E+11,1963-09-27,Bengaluru,Karnataka,20393.0,Unemployed,2025-02-07,Approved,medium
USR10010,Warda Dada,WJVZZ1464B,1.10E+11,1975-06-08,Jalandhar,Punjab,48376.0,Gig Worker,2024-07-26,Pending,high
USR10013,Azaan Nigam,LQQSW5207I,7758 1001 3345,1982-12-12,Pune,Maharashtra,,Salaried,2025-10-09,Approved,high
USR10014,Nisha Patil,RPDIH8589M,XXXX-XXXX-9228,1987-08-29,Mumbai,Maharashtra,18633.0,Freelancer,2026-01-28,Approved,medium
USR10015,Nitara Butala,ZATCW5166R,9355-0947-3494,2007-05-17,Ludhiana,Punjab,7232.0,Freelancer,2026-02-10,Approved,low
USR10020,Ekaraj Bora,OBRCZ2255G,6366-5525-7298,1982-03-12,Delhi,Delhi,31737.0,Retired,2024-04-10,Approved,medium
USR10022,Unni Bajaj,OASHV5339A,2445941007,1962-11-10,Amritsar,Punjab,,Gig Worker,2026-02-02,Approved,low
USR10024,Hemang Kumar,UBHIY9130I,2.20E+11,1968-04-14,Kolkata,West Bengal,22557.0,Salaried,2024-11-19,Approved,high
USR10027,Aayush Shenoy,SXXAL10941,9381 6938 4804,1960-02-16,Delhi,Delhi,18134.0,Retired,,Approved,low
USR10030,Nirja Subramanian,UCCFI2469W,XXXX-XXXX-7814,1982-03-08,Chennai,Tamil Nadu,83400.0,Unemployed,2024-08-03,Approved,medium
USR10031,Yasti Sami,IKRBX1473T,5.55E+11,1995-11-26,Pune,Maharashtra,27676.0,Self Employed,2026-02-03,Pending,low
USR10043,Rehaan Buch,TWXGM2046F,9841-7904-3663,1991-07-06,Ludhiana,Punjab,17368.0,Business Owner,2025-03-21,Approved,medium
USR10045,Mohammed Sur,HGVSK6101C,9.92E+11,1979-02-03,Pune,Maharashtra,42100.0,Student,2024-05-13,Rejected,medium
USR10046,Indrajit Patla,ZIEPW3536D,6950-0123-7960,2006-01-04,Jalandhar,Punjab,33616.0,Self Employed,2025-03-30,Approved,medium
USR10047,Pushti Datta,RPFZI6765W,6.42E+11,1979-06-11,Pune,Maharashtra,38887.0,Salaried,,Pending,low
USR10048,Jhalak Chaudhry,PVBSX3783Q,4.29E+11,2001-05-31,Bengaluru,Karnataka,48066.0,Retired,2026-06-02,In Progress,low
USR10049,Eshana De,OCHZK0381G,8622-2639-8615,1980-10-16,Amritsar,Punjab,55166.0,Gig Worker,2024-05-19,Approved,medium
USR10052,Rohan Kothari,UBWTV8602C,7.99E+11,1960-10-28,Kolkata,West Bengal,61355.0,Business Owner,2026-01-26,Approved,medium
USR10054,Veda Sodhi,,6.96E+11,1977-02-24,Ludhiana,Punjab,15820.0,Unemployed,,Approved,low
USR10057,Zehaan Shetty,KQMXL5728R,2498 6474 2603,1998-05-30,Kolkata,West Bengal,,Freelancer,2026-03-10,Approved,medium
USR10059,Darsh Bhatti,VDRFY3513K,6738 6640 3974,,Jalandhar,Punjab,62771.0,Unemployed,2024-06-23,Approved,medium
USR10064,Yamini Kapadia,LLLDU5856D,8877-5483-8298,1982-10-16,Ludhiana,Punjab,,Gig Worker,,In Progress,
USR10066,Yashodasom,GMSVD2441K,6.73E+11,2006-07-26,Jaipur,Rajasthan,25819.0,Student,2025-05-15,Pending,low
USR10069,Fiyaz Pingle,RAHVJ4104Y,9873-3855-5178,1961-09-27,Mumbai,Maharashtra,49895.0,Business Owner,,Approved,medium
