merchant_key,merchant_id,merchant_name,mcc,merchant_category,business_type,city,state,onboarding_date,settlement_account,merchant_status,declared_avg_ticket_size
1,MCH1001,Anand-Kothari,,Grocery,Partnership,Pune,Maharashtra,2026-02-17,7962506762,Active,332.55
2,MCH1002,"Apte, Saha And Edwin",5812.0,Restaurants & Food,Private Limited,Bengaluru,Karnataka,2026-01-07,XXXX8596,Active,1671.2
3,MCH1003,"Nayar, Batta And Barad",5699.0,Apparel & Fashion,Private Limited,Chennai,Tamil Nadu,,,Active,792.91
4,MCH1004,Pillai-Mohan,4131.0,Travel,Sole Proprietor,Lucknow,Uttar Pradesh,2023-08-04,3448414449,Active,342.7
5,MCH1005,Sagar And Sons,5912.0,Medical,Partnership,Ludhiana,Punjab,2024-06-02,IPTY9767700049775,Active,967.53
6,MCH1007,"Sunder, Wason And Pau",5812.0,Restaurants & Food,Partnership,Jaipur,Rajasthan,2023-11-19,,Active,164.45
7,MCH1009,Bha11A-Dave,5812.0,Transportation,Individual,Mumbai,Maharashtra,2024-08-01,BAVP5007663773178,Active,1496.0
8,MCH1010,Menon-Andra,,Grocery,Private Limited,Delhi,Delhi,2024-11-17,XXXX4837,Active,678.36
9,MCH1011,Wable And Sons,5411.0,Grocery,Private Limited,Ludhiana,Punjab,2023-11-02,,Active,6536.07
10,MCH1014,"Agate, Saxena And Pandit",5311.0,Department Store,Partnership,Jalandhar,Punjab,2023-12-21,3851769270,Active,1096.96
11,MCH1015,Mannan-Subramaniam,7011.0,Hotel & Lodging,Individual,Hyderabad,Telangana,2024-05-19,,Active,
12,MCH1016,"Mangat, Som And Deshmukh",5942.0,Books & Stationery,Individual,Pune,Maharashtra,2025-02-08,OOIR2591293670615,Suspended,756.28
13,MCH1018,Kannan-Khatri,5311.0,Department Store,Individual,Jalandhar,Punjab,2023-03-19,,Active,1791.0
14,MCH1019,Iyer-Thaker,5699.0,Apparel & Fashion,Partnership,Kolkata,West Bengal,2025-05-23,XXXX9462,Active,
15,MCH1020,Garg-Kale,4131.0,Transportation,Sole Proprietor,Amritsar,Punjab,2023-09-05,,Active,1015.68
16,MCH1021,Naik-Karpe,5411.0,Grocery,Sole Proprietor,Mumbai,Maharashtra,2025-11-16,BPUY6277335937444,Active,2341.57
17,MCH1022,Ramesh-Bhat,,Miscellaneous,Private Limited,Hyderabad,Telangana,,,Active,3026.17
18,MCH1032,Nori-Nigam,7011.0,Hotel & Lodging,Sole Proprietor,Pune,Maharashtra,2025-09-21,DXHQ1859405929058,Active,652.29
19,MCH1033,Sidhu And Sons,4814.0,Telecom,Individual,Jalandhar,Punjab,2023-09-11,WXKC0706100279623,Active,1871.48
20,MCH1034,Devi-Chaudhari,7011.0,Hotel & Lodging,Private Limited,Delhi,Delhi,2024-06-17,XXXX9097,Active,243.38
21,MCH1035,Minhas-Khatri,5812.0,Restaurants & Food,Sole Proprietor,Mumbai,Maharashtra,2024-01-24,LDCT0604920639781,Active,5777.68
22,MCH1039,Lal-Barad,4814.0,Telecom,Sole Proprietor,Lucknow,Uttar Pradesh,2025-07-28,,Active,3062.03
23,MCH1040,Krishnan And S0Ns,5411.0,Grocery,Sole Proprietor,Jalandhar,Punjab,2023-01-06,5805252531,Active,1030.03
24,MCH1041,Pat1A-S0M,,Apparel & Fashion,Private Limited,Kolkata,West Bengal,2024-04-21,,Active,3701.53
25,MCH1044,"Jha, Salvi And Setty",5311.0,Retail,Partnership,Hyderabad,Telangana,2024-10-28,VZSQ7155957356020,Active,1084.93
26,MCH1047,Rana-Aurora,4814.0,Telecom,Partnership,Bengaluru,Karnataka,2023-08-20,BJXS0430805448675,Active,1003.46
27,MCH1050,Trivedi-Zachariah,5699.0,Apparel & Fashion,Sole Proprietor,Jaipur,Rajasthan,2025-01-30,368449602,Active,2479.88
28,MCH1053,"Gera, Grover And Sehgal",4814.0,Telecom,Individual,Amritsar,Punjab,2025-02-22,,Active,
