user_id,full_name,pan,aadhaar,date_of_birth,city,state,monthly_income,occupation,signup_timestamp,kyc_status,risk_segment
USR16112,Dhriti Deshmukh,SEJAA8194O,7.16E+11,06-04-67 0:14,Bombay,Maharashtra,35119,Retired,02-12-25 2:18,Done,LOW
USR17216,Megha Jani,QT0ZZ5561X,23412025028,,Lucknow,Uttar Pradesh,80907,Freelancer,01-31-2024,Verified,medium
USR 45454,PANINI LAL,QCNTL9489O,2781 6299 9816,,kolkata,West Bengal,"₹11,214",Farmer,30-01-26 23:57,Pending,High
USR46189,Jack Parikh,RRVUI4059Q,0667 8032 7731,,Amritsar,Punjab,27.3k,Student,09-04-25,VERIFIED,low
USR85256,Eta Ravi,ygvoi9236w,1.76E+11,19-02-69 8:25,delhi,Delhi,"INR 24,705",Salaried,03-Feb-26,APPROVED,LOW
USR 20918,Vanya Chad,jdgoh0074y,8.94E+11,20-04-61,BLR,Karnataka,14124,Self Employed,25-04-24,REJECTED,MEDIUM
usr22494,NIRJA SHETTY,JWZVO4240H,5.28E+12,05-Sep-90,Chennai,Tamil Nadu,16160,Retired,,Reject,medium
USR34742,Ati Dash,OOQCG9609N,9.85E+11,12-20-1962,Jaipur,Rajasthan,43738,Unemployed,07-25-2025,APPROVED,high
USR83137,ria kale,,4.90E+12,09-Sep-05,Jaipur,Rajasthan,25151,Freelancer,03-04-24,Pending,low
USR99161,jalsa malhotra,QLSKS5105S,9.44E+11,20-05-63 5:27,Jalandhar,Punjab,-8083,Retired,,Rejected,Low
USR16625,anika vora,CACWZ 2722 S,0179 7994 0718,,lucknow,Uttar Pradesh,28634,Unemployed,08-Mar-26,Done,Medium
USR 65060,Anirudh Bhatnagar,AIWTB 3506 U,2.50E+12,16-06-03,JPR,Rajasthan,30875,Student,24-05-24 7:29,VERIFIED,LOW
USR13678,Reva Jaggi,KWLPY9915,5.77E+11,27-05-82,jaipur,Rajasthan,24.2k,Gig Worker,16-02-24,Pending,low
USR78719,IndiraChaudhary,VGLXS2856D,6244-9453-8280,17-04-77 7:18,ludhiana,Punjab,"Rs. 20,231",Student,30-Jan-24,V,LOW
USR83333,Gautam Bajwa,HLNXD 7947 Q,8.47E+11,24-08-69 3:28,HYDERABAD,Telangana,24890,Freelancer,1752135790,REJECTED,LOW
USR53554,Hemani Behl,SIBUO4381D,4.49E+11,20-09-68 20:31,Dilli,Delhi,"Rs. 26,617",Business Owner,03-01-24 0:50,KYC_DONE,Low
